week,place,avg_price
2026-10-19,Mt Buller,2192.9166666666665
2026-10-19,Perisher,1060.3684210526317
2026-10-19,Thredbo,7193.9
2026-10-26,Mt Baw Baw,1011.7777777777778
2026-10-26,Mt Buller,2197.5833333333335
2026-10-26,Perisher,1060.3684210526317
2026-10-26,Thredbo,7777.111111111111
2026-11-02,Mt Baw Baw,1000.8
2026-11-02,Mt Buller,2236.5
2026-11-02,Perisher,1060.3684210526317
2026-11-02,Thredbo,6981.545454545455
2026-11-09,Mt Baw Baw,965.8
2026-11-09,Mt Buller,2201.3333333333335
2026-11-09,Perisher,1060.3684210526317
2026-11-09,Thredbo,6981.545454545455
2026-11-16,Mt Baw Baw,965.8
2026-11-16,Mt Buller,2197.75
2026-11-16,Perisher,1089.4705882352941
2026-11-16,Thredbo,6981.545454545455
2026-11-23,Mt Baw Baw,970.0
2026-11-23,Mt Buller,2210.9166666666665
2026-11-23,Perisher,1053.4375
2026-11-23,Thredbo,8165.222222222223
2026-11-30,Mt Baw Baw,970.0
2026-11-30,Mt Buller,2210.9166666666665
2026-11-30,Perisher,1028.0555555555557
2026-11-30,Thredbo,8171.0
2026-12-07,Mt Baw Baw,970.0
2026-12-07,Mt Buller,1791.5555555555557
2026-12-07,Perisher,1028.0555555555557
2026-12-07,Thredbo,8331.555555555555
2026-12-14,Mt Baw Baw,976.125
2026-12-14,Mt Buller,1773.0
2026-12-14,Perisher,1037.8333333333333
2026-12-14,Thredbo,8541.111111111111
2026-12-21,Mt Baw Baw,979.0
2026-12-21,Mt Buller,1801.75
2026-12-21,Perisher,1029.7222222222222
2026-12-21,Thredbo,9439.0
2026-12-28,Mt Baw Baw,978.25
2026-12-28,Mt Buller,1833.0
2026-12-28,Perisher,851.75
2026-12-28,Thredbo,9445.875
