"City","Date","schoolhols","school.hols"
"301","Hobart",2004-02-07,"1","4"
"302","Melbourne",2004-02-07,"0","0"
"303","Perth",2004-02-07,"0","0"
"304","Sydney",2004-02-07,"0","0"
"305","Adelaide",2004-02-08,"0","0"
"306","Brisbane",2004-02-08,"0","0"
"307","Canberra",2004-02-08,"0","0"
"308","Darwin",2004-02-08,"0","0"
"309","Hobart",2004-02-08,"1","4"
"310","Melbourne",2004-02-08,"0","0"
"311","Perth",2004-02-08,"0","0"
"312","Sydney",2004-02-08,"0","0"
"313","Adelaide",2004-02-09,"0","0"
"314","Brisbane",2004-02-09,"0","0"
"315","Canberra",2004-02-09,"0","0"
"316","Darwin",2004-02-09,"0","0"
"317","Hobart",2004-02-09,"1","4"
"318","Melbourne",2004-02-09,"0","0"
"319","Perth",2004-02-09,"0","0"
"320","Sydney",2004-02-09,"0","0"
"321","Adelaide",2004-02-10,"0","0"
"322","Brisbane",2004-02-10,"0","0"
"323","Canberra",2004-02-10,"0","0"
"324","Darwin",2004-02-10,"0","0"
"325","Hobart",2004-02-10,"1","4"
"326","Melbourne",2004-02-10,"0","0"
"327","Perth",2004-02-10,"0","0"
"328","Sydney",2004-02-10,"0","0"
"329","Adelaide",2004-02-11,"0","0"
"330","Brisbane",2004-02-11,"0","0"
"331","Canberra",2004-02-11,"0","0"
"332","Darwin",2004-02-11,"0","0"
"333","Hobart",2004-02-11,"1","4"
"334","Melbourne",2004-02-11,"0","0"
"335","Perth",2004-02-11,"0","0"
"336","Sydney",2004-02-11,"0","0"
"337","Adelaide",2004-02-12,"0","0"
"338","Brisbane",2004-02-12,"0","0"
"339","Canberra",2004-02-12,"0","0"
"340","Darwin",2004-02-12,"0","0"
"341","Hobart",2004-02-12,"0","0"
"342","Melbourne",2004-02-12,"0","0"
"343","Perth",2004-02-12,"0","0"
"344","Sydney",2004-02-12,"0","0"
"345","Adelaide",2004-02-13,"0","0"
"346","Brisbane",2004-02-13,"0","0"
"347","Canberra",2004-02-13,"0","0"
"348","Darwin",2004-02-13,"0","0"
"349","Hobart",2004-02-13,"0","0"
"350","Melbourne",2004-02-13,"0","0"
"351","Perth",2004-02-13,"0","0"
"352","Sydney",2004-02-13,"0","0"
"353","Adelaide",2004-02-14,"0","0"
"354","Brisbane",2004-02-14,"0","0"
"355","Canberra",2004-02-14,"0","0"
"356","Darwin",2004-02-14,"0","0"
"357","Hobart",2004-02-14,"0","0"
"358","Melbourne",2004-02-14,"0","0"
"359","Perth",2004-02-14,"0","0"
"360","Sydney",2004-02-14,"0","0"
"361","Adelaide",2004-02-15,"0","0"
"362","Brisbane",2004-02-15,"0","0"
"363","Canberra",2004-02-15,"0","0"
"364","Darwin",2004-02-15,"0","0"
"365","Hobart",2004-02-15,"0","0"
"366","Melbourne",2004-02-15,"0","0"
"367","Perth",2004-02-15,"0","0"
"368","Sydney",2004-02-15,"0","0"
"369","Adelaide",2004-02-16,"0","0"
"370","Brisbane",2004-02-16,"0","0"
"371","Canberra",2004-02-16,"0","0"
"372","Darwin",2004-02-16,"0","0"
"373","Hobart",2004-02-16,"0","0"
"374","Melbourne",2004-02-16,"0","0"
"375","Perth",2004-02-16,"0","0"
"376","Sydney",2004-02-16,"0","0"
"377","Adelaide",2004-02-17,"0","0"
"378","Brisbane",2004-02-17,"0","0"
"379","Canberra",2004-02-17,"0","0"
"380","Darwin",2004-02-17,"0","0"
"381","Hobart",2004-02-17,"0","0"
"382","Melbourne",2004-02-17,"0","0"
"383","Perth",2004-02-17,"0","0"
"384","Sydney",2004-02-17,"0","0"
"385","Adelaide",2004-02-18,"0","0"
"386","Brisbane",2004-02-18,"0","0"
"387","Canberra",2004-02-18,"0","0"
"388","Darwin",2004-02-18,"0","0"
"389","Hobart",2004-02-18,"0","0"
"390","Melbourne",2004-02-18,"0","0"
"391","Perth",2004-02-18,"0","0"
"392","Sydney",2004-02-18,"0","0"
"393","Adelaide",2004-02-19,"0","0"
"394","Brisbane",2004-02-19,"0","0"
"395","Canberra",2004-02-19,"0","0"
"396","Darwin",2004-02-19,"0","0"
"397","Hobart",2004-02-19,"0","0"
"398","Melbourne",2004-02-19,"0","0"
"399","Perth",2004-02-19,"0","0"
"400","Sydney",2004-02-19,"0","0"
"401","Adelaide",2004-02-20,"0","0"
"402","Brisbane",2004-02-20,"0","0"
"403","Canberra",2004-02-20,"0","0"
"404","Darwin",2004-02-20,"0","0"
"405","Hobart",2004-02-20,"0","0"
"406","Melbourne",2004-02-20,"0","0"
"407","Perth",2004-02-20,"0","0"
"408","Sydney",2004-02-20,"0","0"
"409","Adelaide",2004-02-21,"0","0"
"410","Brisbane",2004-02-21,"0","0"
"411","Canberra",2004-02-21,"0","0"
"412","Darwin",2004-02-21,"0","0"
"413","Hobart",2004-02-21,"0","0"
"414","Melbourne",2004-02-21,"0","0"
"415","Perth",2004-02-21,"0","0"
"416","Sydney",2004-02-21,"0","0"
"417","Adelaide",2004-02-22,"0","0"
"418","Brisbane",2004-02-22,"0","0"
"419","Canberra",2004-02-22,"0","0"
"420","Darwin",2004-02-22,"0","0"
"421","Hobart",2004-02-22,"0","0"
"422","Melbourne",2004-02-22,"0","0"
"423","Perth",2004-02-22,"0","0"
"424","Sydney",2004-02-22,"0","0"
"425","Adelaide",2004-02-23,"0","0"
"426","Brisbane",2004-02-23,"0","0"
"427","Canberra",2004-02-23,"0","0"
"428","Darwin",2004-02-23,"0","0"
"429","Hobart",2004-02-23,"0","0"
"430","Melbourne",2004-02-23,"0","0"
"431","Perth",2004-02-23,"0","0"
"432","Sydney",2004-02-23,"0","0"
"433","Adelaide",2004-02-24,"0","0"
"434","Brisbane",2004-02-24,"0","0"
"435","Canberra",2004-02-24,"0","0"
"436","Darwin",2004-02-24,"0","0"
"437","Hobart",2004-02-24,"0","0"
"438","Melbourne",2004-02-24,"0","0"
"439","Perth",2004-02-24,"0","0"
"440","Sydney",2004-02-24,"0","0"
"441","Adelaide",2004-02-25,"0","0"
"442","Brisbane",2004-02-25,"0","0"
"443","Canberra",2004-02-25,"0","0"
"444","Darwin",2004-02-25,"0","0"
"445","Hobart",2004-02-25,"0","0"
"446","Melbourne",2004-02-25,"0","0"
"447","Perth",2004-02-25,"0","0"
"448","Sydney",2004-02-25,"0","0"
"449","Adelaide",2004-02-26,"0","0"
"450","Brisbane",2004-02-26,"0","0"
"451","Canberra",2004-02-26,"0","0"
"452","Darwin",2004-02-26,"0","0"
"453","Hobart",2004-02-26,"0","0"
"454","Melbourne",2004-02-26,"0","0"
"455","Perth",2004-02-26,"0","0"
"456","Sydney",2004-02-26,"0","0"
"457","Adelaide",2004-02-27,"0","0"
"458","Brisbane",2004-02-27,"0","0"
"459","Canberra",2004-02-27,"0","0"
"460","Darwin",2004-02-27,"0","0"
"461","Hobart",2004-02-27,"0","0"
"462","Melbourne",2004-02-27,"0","0"
"463","Perth",2004-02-27,"0","0"
"464","Sydney",2004-02-27,"0","0"
"465","Adelaide",2004-02-28,"0","0"
"466","Brisbane",2004-02-28,"0","0"
"467","Canberra",2004-02-28,"0","0"
"468","Darwin",2004-02-28,"0","0"
"469","Hobart",2004-02-28,"0","0"
"470","Melbourne",2004-02-28,"0","0"
"471","Perth",2004-02-28,"0","0"
"472","Sydney",2004-02-28,"0","0"
"473","Adelaide",2004-02-29,"0","0"
"474","Brisbane",2004-02-29,"0","0"
"475","Canberra",2004-02-29,"0","0"
"476","Darwin",2004-02-29,"0","0"
"477","Hobart",2004-02-29,"0","0"
"478","Melbourne",2004-02-29,"0","0"
"479","Perth",2004-02-29,"0","0"
"480","Sydney",2004-02-29,"0","0"
"481","Adelaide",2004-03-01,"0","0"
"482","Brisbane",2004-03-01,"0","0"
"483","Canberra",2004-03-01,"0","0"
"484","Darwin",2004-03-01,"0","0"
"485","Hobart",2004-03-01,"0","0"
"486","Melbourne",2004-03-01,"0","0"
"487","Perth",2004-03-01,"0","0"
"488","Sydney",2004-03-01,"0","0"
"489","Adelaide",2004-03-02,"0","0"
"490","Brisbane",2004-03-02,"0","0"
"491","Canberra",2004-03-02,"0","0"
"492","Darwin",2004-03-02,"0","0"
"493","Hobart",2004-03-02,"0","0"
"494","Melbourne",2004-03-02,"0","0"
"495","Perth",2004-03-02,"0","0"
"496","Sydney",2004-03-02,"0","0"
"497","Adelaide",2004-03-03,"0","0"
"498","Brisbane",2004-03-03,"0","0"
"499","Canberra",2004-03-03,"0","0"
"500","Darwin",2004-03-03,"0","0"
"501","Hobart",2004-03-03,"0","0"
"502","Melbourne",2004-03-03,"0","0"
"503","Perth",2004-03-03,"0","0"
"504","Sydney",2004-03-03,"0","0"
"505","Adelaide",2004-03-04,"0","0"
"506","Brisbane",2004-03-04,"0","0"
"507","Canberra",2004-03-04,"0","0"
"508","Darwin",2004-03-04,"0","0"
"509","Hobart",2004-03-04,"0","0"
"510","Melbourne",2004-03-04,"0","0"
"511","Perth",2004-03-04,"0","0"
"512","Sydney",2004-03-04,"0","0"
"513","Adelaide",2004-03-05,"0","0"
"514","Brisbane",2004-03-05,"0","0"
"515","Canberra",2004-03-05,"0","0"
"516","Darwin",2004-03-05,"0","0"
"517","Hobart",2004-03-05,"0","0"
"518","Melbourne",2004-03-05,"0","0"
"519","Perth",2004-03-05,"0","0"
"520","Sydney",2004-03-05,"0","0"
"521","Adelaide",2004-03-06,"0","0"
"522","Brisbane",2004-03-06,"0","0"
"523","Canberra",2004-03-06,"0","0"
"524","Darwin",2004-03-06,"0","0"
"525","Hobart",2004-03-06,"0","0"
"526","Melbourne",2004-03-06,"0","0"
"527","Perth",2004-03-06,"0","0"
"528","Sydney",2004-03-06,"0","0"
"529","Adelaide",2004-03-07,"0","0"
"530","Brisbane",2004-03-07,"0","0"
"531","Canberra",2004-03-07,"0","0"
"532","Darwin",2004-03-07,"0","0"
"533","Hobart",2004-03-07,"0","0"
"534","Melbourne",2004-03-07,"0","0"
"535","Perth",2004-03-07,"0","0"
"536","Sydney",2004-03-07,"0","0"
"537","Adelaide",2004-03-08,"0","0"
"538","Brisbane",2004-03-08,"0","0"
"539","Canberra",2004-03-08,"0","0"
"540","Darwin",2004-03-08,"0","0"
"541","Hobart",2004-03-08,"0","0"
"542","Melbourne",2004-03-08,"0","0"
"543","Perth",2004-03-08,"0","0"
"544","Sydney",2004-03-08,"0","0"
"545","Adelaide",2004-03-09,"0","0"
"546","Brisbane",2004-03-09,"0","0"
"547","Canberra",2004-03-09,"0","0"
"548","Darwin",2004-03-09,"0","0"
"549","Hobart",2004-03-09,"0","0"
"550","Melbourne",2004-03-09,"0","0"
"551","Perth",2004-03-09,"0","0"
"552","Sydney",2004-03-09,"0","0"
